nome_;genero_;desenvolvedor_;lancamento_;plataformas_
The Sims Reborn;MMORPG;Activision;2006;Xbox Series X
The Witcher Reborn;Simulação;Activision;2017;PlayStation 5
League of Legends Origins;Ação;Epic Games;2010;Wii U
Minecraft Chronicles;Puzzle;Valve;1993;PlayStation 2
Hades Legends;Aventura;Rockstar Games;2011;PlayStation 3
Fortnite Saga;Battle Royale;FromSoftware;2018;PlayStation 3
The Legend of Zelda Saga;Terror;CD Projekt Red;1995;PlayStation 5
Stardew Valley Legends;Sandbox;Nintendo;1988;Xbox
League of Legends Reborn;Corrida;Bungie;2004;PlayStation
Assassin's Creed Chronicles;RPG;Mojang;2008;PlayStation 5
Hollow Knight Origins;Esporte;CD Projekt Red;2013;Nintendo Switch
Hollow Knight Legends;RPG;Square Enix;2011;Mobile
Stardew Valley Adventure;Ação;Ubisoft;2004;Wii U
Red Dead Redemption Origins;Puzzle;Supercell;1990;Xbox
League of Legends Saga;Ação;Bungie;2014;PlayStation 3
The Legend of Zelda Odyssey;Battle Royale;Bungie;1988;Wii U
Overwatch Reborn;Puzzle;Ubisoft;2005;PlayStation 5
Among Us Origins;Simulação;Blizzard Entertainment;2013;PlayStation 3
The Sims Chronicles;RPG;Bethesda Game Studios;2012;PlayStation 2
Grand Theft Auto Odyssey;Battle Royale;Activision;2022;Mobile
Cyberpunk Chronicles;Aventura;Santa Monica Studio;1988;PlayStation 3
Apex Legends Adventure;Estratégia;Santa Monica Studio;1997;PlayStation 2
Hades Origins;Battle Royale;Supercell;2004;PlayStation 3
Fortnite Adventure;Esporte;Blizzard Entertainment;2016;PlayStation 3
Overwatch Chronicles;Puzzle;Square Enix;1998;Xbox Series X
God of War Legends;Simulação;Ubisoft;1996;Mobile
EVE Online Chronicles;Simulação;Nintendo;2003;PlayStation 5
God of War Saga;Corrida;Mojang;1994;Xbox Series X
Overwatch Legends;FPS;CD Projekt Red;1995;Nintendo Switch
Stardew Valley Reborn;Terror;Square Enix;2020;PlayStation
Stardew Valley Saga;Esporte;Activision;1995;PlayStation
PUBG Adventure;FPS;Epic Games;2022;Nintendo Switch
Hollow Knight Infinity;RPG;Supercell;1986;Nintendo Switch
Call of Duty Odyssey;Corrida;Rockstar Games;1999;PlayStation
Elden Ring Adventure;Esporte;CD Projekt Red;2001;Xbox
The Witcher Reborn;RPG;Square Enix;2023;Xbox Series X
Fall Guys Reborn;Ação;Square Enix;2021;Xbox 360
God of War Chronicles;FPS;Epic Games;2011;Wii U
God of War Infinity;Battle Royale;Bethesda Game Studios;2023;PlayStation 2
Elden Ring Chronicles;Aventura;Nintendo;1992;Nintendo Switch
EVE Online Origins;RPG;Square Enix;1994;PlayStation
Dota 2 Legends;Aventura;Activision;1989;Xbox
Valorant Odyssey;Simulação;Rockstar Games;1985;PlayStation 5
Hades Chronicles;Terror;Bungie;2012;Mobile
Hollow Knight Infinity;Sandbox;Activision;2016;Wii U
Valorant Infinity;Simulação;Ubisoft;1986;Nintendo Switch
Hades Origins;Simulação;Santa Monica Studio;2015;PlayStation 3
The Sims Origins;Simulação;Bungie;2010;Xbox
Stardew Valley Infinity;FPS;FromSoftware;1998;Xbox 360
Red Dead Redemption Odyssey;Sandbox;Bungie;2018;Mobile
The Sims Saga;Battle Royale;CD Projekt Red;2021;Mobile
The Legend of Zelda Infinity;Esporte;Nintendo;2020;PlayStation
Dota 2 Saga;RPG;Square Enix;2016;Wii U
Grand Theft Auto Adventure;Ação;Santa Monica Studio;2003;Xbox 360
Apex Legends Legends;Corrida;Ubisoft;2012;PlayStation 3
EVE Online Infinity;Simulação;Nintendo;1992;Mobile
Cyberpunk Odyssey;Corrida;FromSoftware;2010;PC
Assassin's Creed Saga;Puzzle;Mojang;2008;Mobile
Apex Legends Origins;Terror;Activision;1988;PlayStation 5
The Legend of Zelda Chronicles;Simulação;Square Enix;2014;PlayStation 2
Assassin's Creed Adventure;Ação;Bungie;1995;Xbox
Hollow Knight Adventure;RPG;Square Enix;1990;Wii U
Cyberpunk Odyssey;Esporte;Bethesda Game Studios;2009;Xbox 360
League of Legends Reborn;Puzzle;Santa Monica Studio;2004;Xbox 360
The Sims Chronicles;Aventura;Blizzard Entertainment;2009;PC
League of Legends Saga;Ação;Square Enix;1986;PlayStation 5
God of War Adventure;MMORPG;Supercell;2000;PC
Assassin's Creed Saga;Sandbox;Valve;1998;Mobile
Stardew Valley Origins;Puzzle;Square Enix;1999;PC
Red Dead Redemption Legends;FPS;FromSoftware;2019;PlayStation
Cyberpunk Odyssey;Simulação;Activision;1991;Xbox Series X
Valorant Adventure;Estratégia;Rockstar Games;1997;Xbox 360
Minecraft Legends;Aventura;Mojang;1986;PlayStation
Call of Duty Adventure;Battle Royale;Square Enix;2020;Nintendo Switch
The Sims Reborn;Puzzle;FromSoftware;1992;Mobile
Assassin's Creed Legends;Esporte;Epic Games;2001;PlayStation 2
The Sims Saga;Sandbox;Santa Monica Studio;1999;PlayStation 3
Cyberpunk Odyssey;Corrida;Rockstar Games;2019;Xbox Series X
Cyberpunk Adventure;Simulação;Square Enix;2007;Wii U
Overwatch Saga;Sandbox;Blizzard Entertainment;1985;PlayStation 5
God of War Chronicles;Estratégia;Ubisoft;1988;Wii U
The Legend of Zelda Reborn;Esporte;Epic Games;2000;Nintendo Switch
Hades Chronicles;Corrida;Bungie;2015;Mobile
Assassin's Creed Chronicles;FPS;Mojang;2019;PlayStation 5
Call of Duty Saga;Corrida;Ubisoft;2019;Xbox
Grand Theft Auto Legends;Simulação;CD Projekt Red;2005;Xbox 360
EVE Online Chronicles;Sandbox;Square Enix;2014;Mobile
Among Us Chronicles;Simulação;Activision;1994;Xbox Series X
EVE Online Odyssey;Estratégia;Bungie;2015;Wii U
God of War Odyssey;FPS;Santa Monica Studio;2014;PlayStation
Cyberpunk Reborn;RPG;Santa Monica Studio;2002;PlayStation 5
Apex Legends Infinity;RPG;CD Projekt Red;2001;PlayStation
Call of Duty Odyssey;Battle Royale;CD Projekt Red;2021;Xbox Series X
Apex Legends Origins;Battle Royale;CD Projekt Red;2020;PlayStation 2
Among Us Chronicles;Battle Royale;Bethesda Game Studios;2021;Wii U
Apex Legends Saga;Aventura;FromSoftware;1993;Xbox Series X
The Sims Origins;Simulação;Mojang;2002;PlayStation 3
Red Dead Redemption Odyssey;Battle Royale;Activision;1997;Xbox Series X
The Sims Chronicles;Puzzle;Supercell;1993;Xbox 360
Red Dead Redemption Legends;Corrida;Blizzard Entertainment;2004;Wii U
Call of Duty Infinity;Ação;Supercell;1992;Xbox 360
The Witcher Chronicles;RPG;FromSoftware;1989;Xbox Series X
Diablo Infinity;RPG;Activision;2021;Nintendo Switch
Overwatch Origins;Aventura;CD Projekt Red;2000;PlayStation 3
Among Us Legends;Battle Royale;Rockstar Games;2021;Xbox 360
Minecraft Adventure;Aventura;Blizzard Entertainment;1998;Xbox
Cyberpunk Origins;Simulação;Blizzard Entertainment;2012;PlayStation
EVE Online Reborn;Simulação;Bethesda Game Studios;1999;Mobile
Valorant Chronicles;FPS;Nintendo;1988;Mobile
Among Us Saga;Puzzle;CD Projekt Red;1994;Xbox Series X
Assassin's Creed Origins;Corrida;Mojang;2003;Mobile
PUBG Legends;Estratégia;Supercell;1991;Mobile
Overwatch Origins;Simulação;Nintendo;1992;Xbox 360
Hollow Knight Chronicles;Ação;Nintendo;2003;PlayStation 2
Overwatch Legends;Sandbox;FromSoftware;2005;PlayStation
Apex Legends Reborn;Simulação;Santa Monica Studio;2011;Nintendo Switch
Hollow Knight Chronicles;Simulação;Activision;2002;PlayStation 3
Call of Duty Saga;Esporte;Santa Monica Studio;2004;Mobile
Assassin's Creed Reborn;Ação;Rockstar Games;2007;PC
The Legend of Zelda Chronicles;FPS;Ubisoft;2022;PC
Hollow Knight Origins;Sandbox;CD Projekt Red;2003;Mobile
God of War Reborn;Estratégia;Epic Games;2022;PlayStation 5
EVE Online Chronicles;MMORPG;Ubisoft;1985;Wii U
Fall Guys Saga;Battle Royale;FromSoftware;2023;Xbox
Overwatch Origins;Simulação;Bethesda Game Studios;2001;Wii U
Cyberpunk Infinity;Simulação;Mojang;2019;Mobile
Minecraft Saga;Ação;Square Enix;1987;Xbox
Minecraft Chronicles;Sandbox;Supercell;2019;Xbox
Elden Ring Chronicles;Ação;Rockstar Games;1990;PlayStation
Apex Legends Reborn;Simulação;Square Enix;1997;Nintendo Switch
Hollow Knight Origins;Sandbox;Bethesda Game Studios;2007;PlayStation 3
Among Us Chronicles;RPG;Mojang;2014;Mobile
Apex Legends Odyssey;Puzzle;Blizzard Entertainment;2007;PlayStation
Assassin's Creed Chronicles;FPS;Blizzard Entertainment;1987;PlayStation 5
The Witcher Reborn;MMORPG;Mojang;1987;Xbox Series X
The Sims Chronicles;Esporte;Epic Games;2023;Xbox
Red Dead Redemption Infinity;Simulação;Bungie;1998;PlayStation 2
Stardew Valley Odyssey;Terror;CD Projekt Red;1993;PC
Among Us Reborn;Ação;Blizzard Entertainment;2002;Xbox 360
Hades Origins;Aventura;Rockstar Games;2022;Nintendo Switch
Minecraft Infinity;MMORPG;Nintendo;1995;PlayStation 3
Among Us Reborn;Simulação;FromSoftware;1997;Mobile
Hades Odyssey;Terror;Blizzard Entertainment;2009;PlayStation
The Witcher Origins;Esporte;CD Projekt Red;2012;Xbox Series X
Grand Theft Auto Chronicles;Puzzle;Square Enix;2011;Xbox
Hollow Knight Chronicles;Sandbox;Supercell;1998;PlayStation
Elden Ring Origins;Esporte;Bethesda Game Studios;2009;Wii U
Fortnite Saga;Sandbox;Valve;1998;Nintendo Switch
The Sims Infinity;Ação;Bethesda Game Studios;2001;PlayStation 3
The Legend of Zelda Reborn;Corrida;Supercell;1992;PC
Minecraft Origins;Terror;CD Projekt Red;2009;Wii U
League of Legends Legends;Battle Royale;Blizzard Entertainment;2003;Xbox
PUBG Odyssey;Esporte;Nintendo;1995;Xbox Series X
EVE Online Adventure;Terror;Ubisoft;2009;PlayStation 2
The Sims Adventure;Esporte;Bethesda Game Studios;2009;PlayStation 2
The Sims Reborn;Simulação;FromSoftware;2005;PlayStation 3
Fortnite Reborn;Ação;Ubisoft;2019;Xbox 360
Fall Guys Reborn;Aventura;Blizzard Entertainment;1990;Xbox
Elden Ring Legends;Terror;Rockstar Games;1987;Xbox Series X
Minecraft Odyssey;RPG;Mojang;1992;Xbox 360
Hades Saga;Estratégia;Valve;2004;Nintendo Switch
The Sims Adventure;RPG;Activision;2016;PlayStation 5
Cyberpunk Reborn;RPG;Activision;1991;Wii U
The Legend of Zelda Saga;Puzzle;FromSoftware;2023;Xbox 360
Red Dead Redemption Chronicles;FPS;Mojang;2016;PlayStation
The Witcher Legends;Aventura;Ubisoft;1989;PlayStation 3
Diablo Infinity;RPG;Santa Monica Studio;1988;PlayStation
Fortnite Origins;FPS;Valve;2018;Xbox Series X
Hollow Knight Legends;MMORPG;Rockstar Games;2007;Nintendo Switch
Fall Guys Chronicles;Simulação;Valve;1993;PlayStation 2
The Sims Reborn;Battle Royale;Mojang;2021;Mobile
Apex Legends Legends;Aventura;Square Enix;1987;Xbox
Minecraft Saga;MMORPG;Nintendo;2006;Wii U
The Sims Saga;RPG;Rockstar Games;1987;Mobile
Minecraft Saga;Terror;Square Enix;1986;Mobile
God of War Adventure;Puzzle;Bethesda Game Studios;1994;Xbox Series X
God of War Infinity;Estratégia;Valve;1991;PlayStation 3
Red Dead Redemption Infinity;Simulação;Supercell;2016;PlayStation 3
The Witcher Legends;Simulação;Bungie;1992;Xbox Series X
Red Dead Redemption Legends;Estratégia;Rockstar Games;1990;Mobile
Minecraft Odyssey;Corrida;Activision;1991;Nintendo Switch
Fortnite Odyssey;Esporte;Supercell;2012;Xbox 360
Stardew Valley Reborn;Aventura;Mojang;2022;PlayStation
Cyberpunk Infinity;Sandbox;Bungie;2013;PC
Valorant Reborn;FPS;Mojang;2019;Xbox
Minecraft Legends;Esporte;Valve;2012;PlayStation
Hades Saga;Sandbox;Mojang;2003;PlayStation 3
Overwatch Infinity;Battle Royale;Supercell;2023;Xbox
The Sims Infinity;Estratégia;Valve;2015;PlayStation 2
Grand Theft Auto Reborn;FPS;Square Enix;2015;PlayStation 3
Grand Theft Auto Chronicles;MMORPG;Bungie;2004;Nintendo Switch
Fortnite Adventure;Aventura;Activision;2015;Xbox 360
Apex Legends Origins;Simulação;FromSoftware;1990;PlayStation 5
Elden Ring Reborn;RPG;Mojang;2001;Xbox 360
Assassin's Creed Reborn;Esporte;Supercell;2004;PC
Dota 2 Reborn;Battle Royale;CD Projekt Red;2016;Xbox 360
Minecraft Origins;Ação;FromSoftware;1997;Xbox 360
Elden Ring Reborn;Estratégia;Square Enix;2003;PlayStation
Diablo Saga;MMORPG;Ubisoft;2019;Nintendo Switch
God of War Odyssey;Esporte;Square Enix;1999;PlayStation
League of Legends Chronicles;Terror;Epic Games;2004;Wii U
Stardew Valley Saga;MMORPG;Santa Monica Studio;1996;PlayStation
League of Legends Infinity;Puzzle;Blizzard Entertainment;1995;Xbox Series X
Hades Reborn;Sandbox;Activision;1996;Xbox Series X
Valorant Origins;Ação;Ubisoft;1994;PlayStation 2
Hollow Knight Chronicles;FPS;Ubisoft;2014;Wii U
Grand Theft Auto Reborn;RPG;Supercell;2023;Xbox 360
EVE Online Saga;Corrida;Santa Monica Studio;2003;Nintendo Switch
Dota 2 Chronicles;Sandbox;Valve;1985;Wii U
Overwatch Origins;Esporte;Valve;2013;Nintendo Switch
Dota 2 Chronicles;Estratégia;Mojang;2008;PC
God of War Reborn;Battle Royale;Valve;2011;Xbox Series X
Minecraft Legends;Sandbox;Valve;2019;PlayStation 3
Hollow Knight Adventure;Battle Royale;CD Projekt Red;2008;PlayStation 2
Among Us Odyssey;RPG;Square Enix;2023;Mobile
Minecraft Saga;Puzzle;Blizzard Entertainment;1991;PlayStation 2
Fall Guys Infinity;Puzzle;Bethesda Game Studios;2004;PlayStation 5
The Witcher Chronicles;Sandbox;CD Projekt Red;1986;Nintendo Switch
League of Legends Odyssey;Estratégia;Square Enix;1989;PlayStation 5
God of War Reborn;Simulação;Valve;2022;Xbox 360
EVE Online Saga;Esporte;Mojang;1993;Nintendo Switch
Red Dead Redemption Reborn;FPS;Nintendo;2022;Wii U
Fall Guys Odyssey;MMORPG;Bethesda Game Studios;1991;PlayStation 2
Hollow Knight Legends;Corrida;Ubisoft;2006;Xbox 360
Diablo Odyssey;Esporte;Santa Monica Studio;2003;Nintendo Switch
Cyberpunk Saga;RPG;Mojang;1997;PlayStation
Hades Odyssey;Terror;Ubisoft;1986;Xbox Series X
Valorant Infinity;Puzzle;Mojang;2007;Wii U
Hollow Knight Odyssey;MMORPG;Ubisoft;2015;PlayStation
Elden Ring Infinity;FPS;Epic Games;2012;PC
The Legend of Zelda Odyssey;Ação;Rockstar Games;1999;PlayStation 2
League of Legends Legends;Terror;Blizzard Entertainment;1989;PlayStation 3
Assassin's Creed Infinity;Simulação;FromSoftware;1996;Nintendo Switch
Dota 2 Infinity;Puzzle;Ubisoft;1993;Nintendo Switch
God of War Adventure;Corrida;Santa Monica Studio;1999;Xbox
Minecraft Legends;Ação;Blizzard Entertainment;2019;Xbox
Call of Duty Legends;Sandbox;Blizzard Entertainment;2009;Mobile
Minecraft Adventure;MMORPG;Nintendo;1988;PlayStation 2
Among Us Origins;Aventura;Activision;1994;Wii U
Call of Duty Odyssey;MMORPG;Santa Monica Studio;1998;PlayStation 3
Hades Adventure;Sandbox;Santa Monica Studio;1993;PlayStation 2
PUBG Odyssey;MMORPG;Santa Monica Studio;2010;PC
Dota 2 Saga;Terror;Bethesda Game Studios;2015;Mobile
The Legend of Zelda Odyssey;Estratégia;Ubisoft;2019;Xbox 360
God of War Saga;Puzzle;Activision;2008;Mobile
Apex Legends Infinity;FPS;Nintendo;2006;PC
EVE Online Adventure;Terror;Ubisoft;1996;PlayStation
Hollow Knight Adventure;Puzzle;Santa Monica Studio;1996;PC
Hollow Knight Odyssey;RPG;Rockstar Games;2002;Wii U
God of War Reborn;RPG;Activision;2003;PlayStation
Cyberpunk Saga;Estratégia;FromSoftware;1993;Xbox Series X
Grand Theft Auto Legends;Ação;CD Projekt Red;2013;PlayStation 2
The Witcher Reborn;Ação;CD Projekt Red;1992;Xbox
The Legend of Zelda Chronicles;Esporte;Blizzard Entertainment;2000;PlayStation
Grand Theft Auto Origins;RPG;Mojang;2007;Xbox 360
Call of Duty Odyssey;Battle Royale;Mojang;2016;PlayStation
Among Us Reborn;Sandbox;Rockstar Games;2006;Xbox
Hollow Knight Odyssey;Simulação;Ubisoft;2022;PlayStation 2
Hollow Knight Chronicles;Ação;Square Enix;2004;Xbox 360
Stardew Valley Infinity;Ação;Activision;1997;PlayStation 3
Apex Legends Chronicles;Sandbox;Epic Games;1996;PlayStation 2
The Witcher Infinity;Terror;Ubisoft;2006;PlayStation
EVE Online Legends;RPG;Rockstar Games;1993;Xbox
Red Dead Redemption Legends;Simulação;Supercell;2014;PC
Call of Duty Saga;Battle Royale;Blizzard Entertainment;2004;PlayStation 3
Cyberpunk Odyssey;Simulação;Ubisoft;2001;PlayStation
PUBG Infinity;Ação;Square Enix;1989;PC
Fall Guys Legends;Simulação;Bethesda Game Studios;2004;PlayStation 3
Dota 2 Origins;Estratégia;Valve;2001;Xbox Series X
Fortnite Legends;Esporte;Supercell;2020;PlayStation
Hades Adventure;Aventura;Ubisoft;1990;PC
Hades Saga;Esporte;Activision;1990;Nintendo Switch
God of War Adventure;RPG;FromSoftware;2002;Mobile
PUBG Odyssey;Simulação;Epic Games;1993;PlayStation 2
Elden Ring Legends;Estratégia;Rockstar Games;2005;PlayStation 3
The Sims Odyssey;Esporte;Epic Games;2003;PlayStation 3
Minecraft Reborn;MMORPG;Blizzard Entertainment;2006;Xbox
Fortnite Adventure;Ação;CD Projekt Red;1995;PlayStation 3
Elden Ring Saga;Estratégia;Supercell;1994;PC
The Sims Chronicles;MMORPG;Epic Games;2001;PlayStation 2
Dota 2 Legends;Esporte;Bungie;1996;PlayStation 3
Assassin's Creed Odyssey;Ação;Supercell;2005;PlayStation 5
Grand Theft Auto Origins;MMORPG;Square Enix;1997;PC
The Witcher Reborn;Estratégia;Epic Games;2002;Mobile
Red Dead Redemption Adventure;Terror;CD Projekt Red;2021;Mobile
League of Legends Reborn;Battle Royale;Bethesda Game Studios;2007;Xbox Series X
Diablo Reborn;Terror;Nintendo;1995;PlayStation
Grand Theft Auto Chronicles;Sandbox;Nintendo;2010;Xbox Series X
Cyberpunk Saga;Sandbox;Valve;2005;PlayStation 3
Stardew Valley Reborn;Corrida;CD Projekt Red;1996;Xbox
The Witcher Adventure;MMORPG;Square Enix;2000;PlayStation
Diablo Legends;Estratégia;Valve;1999;PlayStation 2
EVE Online Legends;Battle Royale;Santa Monica Studio;1999;PlayStation 3
God of War Adventure;Aventura;Bethesda Game Studios;2009;PlayStation 5
Dota 2 Saga;Ação;CD Projekt Red;2016;Nintendo Switch
League of Legends Infinity;Puzzle;Blizzard Entertainment;2005;Nintendo Switch
Stardew Valley Origins;Simulação;Mojang;2009;Mobile
Grand Theft Auto Chronicles;Aventura;Mojang;1999;PC
Fortnite Adventure;Corrida;Ubisoft;2001;Xbox
The Sims Reborn;RPG;Ubisoft;1992;PC
Diablo Legends;Simulação;Bethesda Game Studios;2017;Wii U
Diablo Reborn;Estratégia;Rockstar Games;2006;Xbox 360
Elden Ring Reborn;Ação;Valve;2004;PC
PUBG Legends;Battle Royale;Bethesda Game Studios;1987;PlayStation 2
Elden Ring Odyssey;MMORPG;Activision;1994;PlayStation
The Legend of Zelda Chronicles;Estratégia;Activision;1995;PlayStation
Fortnite Saga;Simulação;CD Projekt Red;2013;PlayStation 3
PUBG Odyssey;Esporte;FromSoftware;2012;Wii U
The Witcher Saga;Ação;Nintendo;2019;Xbox 360
Overwatch Legends;Battle Royale;Epic Games;2013;Mobile
PUBG Origins;MMORPG;Mojang;2009;Xbox 360
EVE Online Adventure;Terror;Bungie;2019;Xbox Series X
League of Legends Legends;Simulação;Nintendo;2012;Xbox
Elden Ring Infinity;Simulação;Activision;2022;Xbox
Overwatch Legends;Esporte;FromSoftware;2002;PlayStation 5
God of War Odyssey;Corrida;Ubisoft;2002;PlayStation 2
Call of Duty Saga;Esporte;Nintendo;1990;PlayStation 2
Overwatch Saga;Sandbox;Rockstar Games;2011;PC
Grand Theft Auto Origins;Ação;CD Projekt Red;1992;PlayStation 3
Dota 2 Odyssey;FPS;Supercell;2005;PC
Overwatch Legends;Esporte;Valve;2011;PlayStation 2
Hades Saga;Aventura;Bungie;1992;PC
Among Us Saga;RPG;Bethesda Game Studios;1995;PC
Assassin's Creed Reborn;Aventura;Nintendo;2009;Nintendo Switch
Stardew Valley Adventure;Battle Royale;Supercell;2023;PlayStation 5
Grand Theft Auto Infinity;Simulação;Bungie;1990;Xbox 360
Diablo Saga;Terror;Rockstar Games;2013;Xbox Series X
Valorant Origins;MMORPG;Bethesda Game Studios;2005;Xbox Series X
Elden Ring Odyssey;Puzzle;Bethesda Game Studios;2012;Xbox 360
God of War Saga;Ação;Supercell;2017;Xbox 360
Assassin's Creed Legends;Simulação;Nintendo;1986;Xbox Series X
Apex Legends Saga;MMORPG;Bethesda Game Studios;2012;Xbox 360
Among Us Origins;Esporte;Epic Games;2010;PlayStation
Cyberpunk Adventure;Corrida;FromSoftware;1993;Xbox Series X
Stardew Valley Legends;Terror;Blizzard Entertainment;2014;PlayStation 2
Diablo Adventure;Sandbox;CD Projekt Red;2002;PlayStation
Diablo Chronicles;Battle Royale;Rockstar Games;1996;Mobile
Among Us Odyssey;Simulação;FromSoftware;1998;Mobile
Fortnite Odyssey;MMORPG;Supercell;2002;PlayStation 5
Hollow Knight Legends;Terror;Bethesda Game Studios;1996;Nintendo Switch
The Legend of Zelda Infinity;FPS;Rockstar Games;2018;Xbox
Assassin's Creed Adventure;Simulação;Activision;2011;PC
Valorant Adventure;Esporte;Rockstar Games;2021;Mobile
God of War Legends;Estratégia;Valve;2015;Xbox 360
Stardew Valley Saga;Terror;Blizzard Entertainment;1986;PlayStation 2
League of Legends Infinity;Corrida;Nintendo;1996;PlayStation 2
Dota 2 Odyssey;Terror;Square Enix;2006;Mobile
Hollow Knight Legends;Sandbox;Blizzard Entertainment;1993;PlayStation 2
Diablo Legends;FPS;Activision;2003;Wii U
Apex Legends Odyssey;Corrida;Rockstar Games;1989;PlayStation 3
Among Us Reborn;Battle Royale;Square Enix;2004;Xbox 360
Minecraft Origins;Esporte;Valve;2012;Nintendo Switch
Among Us Odyssey;MMORPG;Bungie;1991;Xbox
Call of Duty Legends;FPS;Santa Monica Studio;1992;Nintendo Switch
Cyberpunk Adventure;Terror;Supercell;2007;Xbox Series X
Elden Ring Reborn;Sandbox;Bungie;2012;Nintendo Switch
Hollow Knight Reborn;Aventura;Square Enix;2015;Xbox 360
The Witcher Reborn;Terror;Nintendo;2022;PC
Grand Theft Auto Origins;RPG;Santa Monica Studio;2011;Wii U
Red Dead Redemption Reborn;Puzzle;Ubisoft;1995;Xbox
Apex Legends Origins;Puzzle;Mojang;2003;Xbox
Apex Legends Adventure;Puzzle;Ubisoft;1991;PlayStation 5
EVE Online Adventure;Battle Royale;Valve;2015;Xbox 360
Valorant Origins;RPG;Rockstar Games;2000;PlayStation 2
Minecraft Odyssey;Simulação;Mojang;2003;PlayStation
Red Dead Redemption Chronicles;Aventura;Square Enix;2010;Wii U
Fortnite Origins;Puzzle;Blizzard Entertainment;2018;PC
Cyberpunk Legends;Terror;Ubisoft;1994;Xbox 360
Dota 2 Origins;Battle Royale;Rockstar Games;1994;PlayStation 5
EVE Online Adventure;Esporte;Epic Games;2008;Xbox 360
Cyberpunk Reborn;Ação;Activision;1996;PlayStation 2
Red Dead Redemption Adventure;Corrida;Blizzard Entertainment;2023;Wii U
EVE Online Chronicles;MMORPG;Epic Games;2005;Nintendo Switch
Elden Ring Chronicles;FPS;CD Projekt Red;2018;Wii U
Assassin's Creed Origins;FPS;CD Projekt Red;1992;Wii U
The Witcher Reborn;Puzzle;Valve;2012;PC
The Sims Reborn;Sandbox;Mojang;2012;Xbox 360
Fall Guys Reborn;Terror;Bungie;2004;PlayStation 3
God of War Odyssey;Simulação;Epic Games;1995;Wii U
PUBG Chronicles;MMORPG;Square Enix;2015;PC
Apex Legends Origins;Terror;Bethesda Game Studios;2016;Mobile
EVE Online Reborn;Terror;Mojang;1999;Xbox 360
The Legend of Zelda Adventure;Corrida;Nintendo;1992;Xbox
The Witcher Reborn;FPS;Activision;2007;Mobile
Apex Legends Odyssey;Esporte;Epic Games;2017;Nintendo Switch
Fortnite Legends;Terror;Epic Games;1985;PlayStation 2
Assassin's Creed Odyssey;Corrida;Bungie;2021;Nintendo Switch
Hollow Knight Chronicles;Ação;CD Projekt Red;1996;Wii U
The Legend of Zelda Infinity;MMORPG;Epic Games;1992;PlayStation
The Witcher Legends;Aventura;Nintendo;1991;PlayStation 5
Hades Reborn;FPS;Mojang;2009;Xbox Series X
EVE Online Adventure;Puzzle;Santa Monica Studio;2018;Wii U
League of Legends Adventure;Battle Royale;Valve;2000;Wii U
Valorant Adventure;Simulação;CD Projekt Red;1997;Xbox 360
Minecraft Adventure;Aventura;Activision;2019;PlayStation 5
Fall Guys Odyssey;Esporte;Activision;1995;PlayStation 2
Hollow Knight Origins;RPG;Bungie;1985;PlayStation 2
Dota 2 Odyssey;RPG;CD Projekt Red;2017;PlayStation 3
Among Us Origins;Aventura;Bethesda Game Studios;1988;Xbox Series X
Apex Legends Reborn;Battle Royale;Activision;2013;PlayStation 2
Stardew Valley Odyssey;Ação;Nintendo;2006;Mobile
God of War Legends;Sandbox;FromSoftware;1999;Xbox Series X
The Witcher Odyssey;Puzzle;Santa Monica Studio;1987;Mobile
Cyberpunk Adventure;MMORPG;CD Projekt Red;1993;PlayStation 3
Minecraft Odyssey;Esporte;Nintendo;2005;Nintendo Switch
The Witcher Chronicles;Aventura;Valve;2022;Xbox
Hades Infinity;Simulação;Mojang;1992;PlayStation 2
The Sims Odyssey;Estratégia;Valve;1994;Mobile
Apex Legends Saga;Esporte;CD Projekt Red;1998;PlayStation 3
Minecraft Infinity;Puzzle;CD Projekt Red;2016;PlayStation 5
Hollow Knight Adventure;Esporte;Nintendo;1997;Wii U
Elden Ring Infinity;Puzzle;Mojang;2017;PC
God of War Chronicles;RPG;Square Enix;2021;PC
Stardew Valley Reborn;MMORPG;FromSoftware;1995;PlayStation 2
The Legend of Zelda Saga;Sandbox;Blizzard Entertainment;2000;Mobile
Red Dead Redemption Origins;Sandbox;Valve;1999;PlayStation 3
PUBG Odyssey;Estratégia;Mojang;1986;Xbox
Elden Ring Saga;FPS;Santa Monica Studio;2004;PlayStation 3
Hollow Knight Origins;RPG;Ubisoft;2005;Xbox Series X
Stardew Valley Saga;Corrida;CD Projekt Red;2015;Xbox Series X
Apex Legends Adventure;Battle Royale;Bungie;1991;Mobile
Diablo Origins;Esporte;FromSoftware;2000;Wii U
Dota 2 Origins;Ação;Valve;1985;PlayStation 5
The Legend of Zelda Reborn;Battle Royale;Bethesda Game Studios;2018;PlayStation 2
The Legend of Zelda Odyssey;Corrida;CD Projekt Red;1998;Wii U
Red Dead Redemption Reborn;Simulação;Bungie;1989;Mobile
Hollow Knight Saga;Estratégia;Bungie;2023;PlayStation 5
Stardew Valley Odyssey;Aventura;CD Projekt Red;2016;PC
Dota 2 Legends;Esporte;Bungie;2017;PC
Apex Legends Adventure;MMORPG;Bethesda Game Studios;2017;PlayStation 5
The Legend of Zelda Origins;Ação;CD Projekt Red;2016;PlayStation 3
Dota 2 Reborn;Puzzle;Epic Games;1990;Xbox
The Witcher Odyssey;Terror;Santa Monica Studio;1990;Xbox Series X
